timestamp,表面温度,高频加速度RMS,高频加速度峭度,高频加速度有效值,速度有效值,速度RMS
2022-09-01 08:02:10,24.0,0.06256136,2.319592,,,0.1494235
2022-09-01 08:07:10,24.0,0.06486217,2.333496,,,0.1337754
2022-09-01 08:12:10,23.0,0.06187648,2.34345,,,0.1633385
2022-09-01 08:17:10,23.0,0.05957014,2.296276,,,0.1303052
2022-09-01 08:22:10,23.0,0.06195397,2.419358,,,0.08478348
2022-09-01 08:27:10,23.0,0.06039675,2.347749,,,0.1196615
2022-09-01 08:32:10,23.0,0.06035804,2.420782,,,0.134196
2022-09-01 08:37:10,24.0,0.06221458,2.42548,,,0.1301426
2022-09-01 08:42:10,24.0,0.05936917,2.437253,,,0.1023984
2022-09-01 08:47:10,24.0,0.05950877,2.456257,,,0.07257263
2022-09-01 08:52:10,24.0,0.0604261,2.497425,,,0.144443
2022-09-01 08:57:10,24.0,0.06203572,2.244294,,,0.1657845
2022-09-01 09:02:10,24.0,0.06053991,2.467652,,,0.2126528
2022-09-01 09:07:10,24.0,0.06296102,2.637192,,,0.1874798
2022-09-01 09:12:10,24.0,0.06014559,2.523172,,,0.2312245
2022-09-01 09:17:10,24.0,0.06550808,2.689019,,,0.1724345
2022-09-01 09:22:10,25.0,0.06658573,2.432196,,,0.1433312
2022-09-01 09:27:10,25.0,0.07612032,2.830832,,,0.1891082
2022-09-01 09:32:10,25.0,0.06317138,2.566858,,,0.2276078
2022-09-01 09:37:10,25.0,0.08273289,2.711725,,,0.234433
2022-09-01 09:42:10,25.0,0.06191333,2.404498,,,0.1300896
2022-09-01 09:47:10,25.0,0.05720854,2.623248,,,0.1476546
2022-09-01 09:52:10,25.0,0.06268448,2.638509,,,0.123761
2022-09-01 09:57:10,26.0,0.05861855,2.621059,,,0.1626902
2022-09-01 10:02:10,26.0,0.05713329,2.46508,,,0.2101966
2022-09-01 10:07:10,26.0,0.06601163,2.653867,,,0.1626444
2022-09-01 10:12:10,26.0,0.06135459,2.810112,,,0.2337858
2022-09-01 10:17:10,26.0,0.07114856,2.573247,,,0.1886882
2022-09-01 10:22:10,26.0,0.06554937,2.233013,,,0.1535798
2022-09-01 10:27:10,26.0,0.05873083,2.726386,,,0.1886132
2022-09-01 10:32:10,26.0,0.0575621,2.592759,,,0.1647836
2022-09-01 10:37:10,27.0,0.06039432,2.612795,,,0.2063087
2022-09-01 10:42:10,27.0,0.06529754,2.576,,,0.1769874
2022-09-01 10:47:10,27.0,0.0650297,2.705379,,,0.1580644
2022-09-01 10:52:10,27.0,0.05924303,2.764673,,,0.1788869
2022-09-01 10:57:10,27.0,0.06105898,2.692302,,,0.1619362
2022-09-01 11:02:10,27.0,0.06008052,2.718071,,,0.1750503
2022-09-01 11:07:10,28.0,0.07039187,2.682453,,,0.181166
2022-09-01 11:12:10,28.0,0.07582923,2.417219,,,0.2130518
2022-09-01 11:17:10,28.0,0.08045922,2.666204,,,0.1955673
2022-09-01 11:22:10,28.0,0.05992667,2.682688,,,0.1414354
2022-09-01 11:27:10,28.0,0.0616574,2.439813,,,0.1378593
2022-09-01 11:32:10,28.0,0.05888514,2.611201,,,0.1525849
2022-09-01 11:37:10,28.0,0.0641885,2.835964,,,0.150577
2022-09-01 11:42:10,28.0,0.06146017,2.649942,,,0.1531183
2022-09-01 11:47:10,28.0,0.06394109,2.849217,,,0.1741177
2022-09-01 11:52:10,28.0,0.06226918,2.544811,,,0.1886358
2022-09-01 11:57:10,28.0,0.05928294,2.760238,,,0.1988031
2022-09-01 12:02:10,28.0,0.0644791,2.522076,,,0.1855203
2022-09-01 12:07:10,28.0,0.07138161,2.560234,,,0.1664987
2022-09-01 12:12:10,28.0,0.07036912,2.658916,,,0.1988617
2022-09-01 12:17:10,28.0,0.06300106,2.433761,,,0.179122
2022-09-01 12:22:10,28.0,0.08256622,2.38482,,,0.1440337
2022-09-01 12:27:10,28.0,0.07287427,2.500276,,,0.1489432
2022-09-01 12:32:10,28.0,0.06968563,2.700596,,,0.1331361
2022-09-01 12:37:10,29.0,0.06351825,2.474629,,,0.1060932
2022-09-01 12:42:10,28.0,0.07213835,2.511226,,,0.1378227
2022-09-01 12:47:10,28.0,0.06639183,2.677629,,,0.12149
2022-09-01 12:52:10,28.0,0.07108095,2.738939,,,0.1691232
2022-09-01 12:57:10,29.0,0.07975217,2.877914,,,0.1355531
2022-09-01 13:02:10,29.0,0.06612503,2.707522,,,0.1567754
2022-09-01 13:07:10,29.0,0.0693922,2.654716,,,0.1349434
2022-09-01 13:12:10,29.0,0.06307606,2.602294,,,0.1793209
2022-09-01 13:17:10,29.0,0.07331844,2.779664,,,0.1723945
2022-09-01 13:22:10,29.0,0.06264748,2.599964,,,0.1999916
2022-09-01 13:27:10,29.0,0.0627629,2.51603,,,0.1446041
2022-09-01 13:32:10,29.0,0.08309961,2.72539,,,0.1785621
2022-09-01 13:37:10,29.0,0.07565369,2.713891,,,0.1782057
2022-09-01 13:42:10,29.0,0.06885586,2.699437,,,0.1970821
2022-09-01 13:47:10,29.0,0.06367819,2.917352,,,0.2020814
2022-09-01 13:52:10,30.0,0.0568605,2.506006,,,0.1947918
2022-09-01 13:57:10,30.0,0.0818981,2.60767,,,0.1590901
2022-09-01 14:02:10,30.0,0.0626461,2.732878,,,0.1312439
2022-09-01 14:07:10,30.0,0.06699691,2.930639,,,0.1723484
