timestamp,表面温度_x,高频加速度RMS_x,高频加速度峭度_x,速度RMS_x,表面温度_y,高频加速度RMS_y,高频加速度峭度_y,速度RMS_y,表面温度,高频加速度RMS,高频加速度峭度,速度RMS
2022/9/1 8:02,43,2.230582,3.120129,0.96695,24,0.06256136,2.319592,0.1494235,51,0.02842537,2.9299,0.05992553
2022/9/1 8:12,43,2.282561,2.785309,1.018919,23,0.06187648,2.34345,0.1633385,51,0.02744773,2.813835,0.0749568
2022/9/1 8:17,43,2.404523,3.073159,0.9769782,23,0.05957014,2.296276,0.1303052,50,0.02800442,2.95007,0.08533041
2022/9/1 8:22,43,2.363667,2.78372,1.085288,23,0.06195397,2.419358,0.08478348,49,0.02846511,2.656911,0.07712632
2022/9/1 8:27,44,2.373578,2.641092,1.053311,23,0.06039675,2.347749,0.1196615,49,0.02687977,2.992598,0.08005371
2022/9/1 8:32,44,2.248926,2.880184,0.9940695,23,0.06035804,2.420782,0.134196,47,0.03927254,2.725887,0.1031563
2022/9/1 8:37,44,2.432553,2.844246,1.035903,24,0.06221458,2.42548,0.1301426,47,0.03332912,2.770601,0.06280781
2022/9/1 8:42,44,2.230853,3.029713,1.071624,24,0.05936917,2.437253,0.1023984,47,0.03228612,2.996953,0.07556289
2022/9/1 8:47,44,2.34447,3.007999,1.027476,24,0.05950877,2.456257,0.07257263,45,0.028209,3.126842,0.05551493
2022/9/1 8:52,44,2.398662,2.909686,0.9999023,24,0.0604261,2.497425,0.144443,45,0.03814854,2.708305,0.05828541
2022/9/1 8:57,45,2.232443,2.737619,1.035765,24,0.06203572,2.244294,0.1657845,45,0.02938739,2.773395,0.09306721
2022/9/1 9:02,44,2.262688,2.9346,0.9676855,24,0.06053991,2.467652,0.2126528,43,1.35836,2.774706,0.2442692
2022/9/1 9:07,44,2.294959,2.86271,0.9956172,24,0.06296102,2.637192,0.1874798,43,1.176827,3.133913,0.2083166
2022/9/1 9:12,44,2.099953,2.870425,1.019672,24,0.06014559,2.523172,0.2312245,44,1.303136,3.220132,0.2153106
2022/9/1 9:17,44,2.083703,2.967473,0.8941865,24,0.06550808,2.689019,0.1724345,44,1.200984,3.039506,0.2430742
2022/9/1 9:22,44,2.279034,2.767316,0.9904853,25,0.06658573,2.432196,0.1433312,46,1.277994,2.925792,0.1899663
2022/9/1 9:27,44,2.036322,2.882323,0.9996015,25,0.07612032,2.830832,0.1891082,46,1.281421,2.570225,0.2521929
2022/9/1 9:32,44,2.285714,2.598455,1.00299,25,0.06317138,2.566858,0.2276078,47,1.425239,2.60566,0.7154522
2022/9/1 9:37,45,2.347442,2.934093,1.00005,25,0.08273289,2.711725,0.234433,47,1.334466,3.078222,0.4206624
2022/9/1 9:42,45,2.366738,2.739884,0.9723503,25,0.06191333,2.404498,0.1300896,47,1.345278,3.136611,0.218476
2022/9/1 9:47,45,2.208066,2.89768,1.017255,25,0.05720854,2.623248,0.1476546,47,1.158341,2.7747,0.2488077
2022/9/1 9:52,45,2.355241,2.862562,1.15834,25,0.06268448,2.638509,0.123761,48,1.219766,2.993279,0.2727696
2022/9/1 9:57,45,2.090089,2.928594,0.9822041,26,0.05861855,2.621059,0.1626902,48,1.200205,3.071892,0.2286006
2022/9/1 10:02,45,2.23682,3.156221,1.017313,26,0.05713329,2.46508,0.2101966,47,1.206714,2.990833,0.2279474
2022/9/1 10:12,45,2.22266,2.86445,1.082188,26,0.06135459,2.810112,0.2337858,48,1.497395,3.362839,0.7370297
2022/9/1 10:17,46,2.268724,2.687663,1.078093,26,0.07114856,2.573247,0.1886882,48,1.286192,2.772412,0.5020718
2022/9/1 10:22,46,2.27676,3.010694,0.9725642,26,0.06554937,2.233013,0.1535798,49,1.271506,3.142603,0.2570449
2022/9/1 10:27,46,2.353318,2.714875,0.9707366,26,0.05873083,2.726386,0.1886132,49,1.151972,2.782616,0.2171321
2022/9/1 10:32,46,2.45908,2.832346,1.083344,26,0.0575621,2.592759,0.1647836,50,1.28353,2.690728,0.2342339
2022/9/1 10:37,46,2.208062,2.582961,1.107916,27,0.06039432,2.612795,0.2063087,50,1.319069,2.938344,0.2497551
2022/9/1 10:42,46,2.42719,3.006473,1.010811,27,0.06529754,2.576,0.1769874,51,1.308658,2.750889,0.2366296
2022/9/1 10:47,46,2.145867,2.858632,1.095724,27,0.0650297,2.705379,0.1580644,52,1.268574,3.121245,0.1863456
2022/9/1 10:52,46,2.404907,2.780946,1.006858,27,0.05924303,2.764673,0.1788869,52,1.355334,2.82088,0.2229301
2022/9/1 10:57,47,2.150801,2.940865,0.9597161,27,0.06105898,2.692302,0.1619362,52,1.254257,2.710702,0.2353242
2022/9/1 11:02,46,2.324247,2.832564,0.9939286,27,0.06008052,2.718071,0.1750503,51,1.26695,2.848236,0.2336948
