timestamp,表面温度_x,高频加速度RMS_x,高频加速度峭度_x,速度RMS_x
2022/9/1 8:02,43,2.230582,3.120129,0.96695
2022/9/1 8:12,43,2.282561,2.785309,1.018919
2022/9/1 8:17,43,2.404523,3.073159,0.9769782
2022/9/1 8:22,43,2.363667,2.78372,1.085288
2022/9/1 8:27,44,2.373578,2.641092,1.053311
2022/9/1 8:32,44,2.248926,2.880184,0.9940695
2022/9/1 8:37,44,2.432553,2.844246,1.035903
2022/9/1 8:42,44,2.230853,3.029713,1.071624
2022/9/1 8:47,44,2.34447,3.007999,1.027476
2022/9/1 8:52,44,2.398662,2.909686,0.9999023
2022/9/1 8:57,45,2.232443,2.737619,1.035765
2022/9/1 9:02,44,2.262688,2.9346,0.9676855
2022/9/1 9:07,44,2.294959,2.86271,0.9956172
2022/9/1 9:12,44,2.099953,2.870425,1.019672
2022/9/1 9:17,44,2.083703,2.967473,0.8941865
2022/9/1 9:22,44,2.279034,2.767316,0.9904853
2022/9/1 9:27,44,2.036322,2.882323,0.9996015
2022/9/1 9:32,44,2.285714,2.598455,1.00299
2022/9/1 9:37,45,2.347442,2.934093,1.00005
2022/9/1 9:42,45,2.366738,2.739884,0.9723503
2022/9/1 9:47,45,2.208066,2.89768,1.017255
2022/9/1 9:52,45,2.355241,2.862562,1.15834
2022/9/1 9:57,45,2.090089,2.928594,0.9822041
2022/9/1 10:02,45,2.23682,3.156221,1.017313
2022/9/1 10:12,45,2.22266,2.86445,1.082188
2022/9/1 10:17,46,2.268724,2.687663,1.078093
2022/9/1 10:22,46,2.27676,3.010694,0.9725642
2022/9/1 10:27,46,2.353318,2.714875,0.9707366
2022/9/1 10:32,46,2.45908,2.832346,1.083344
2022/9/1 10:37,46,2.208062,2.582961,1.107916
2022/9/1 10:42,46,2.42719,3.006473,1.010811
2022/9/1 10:47,46,2.145867,2.858632,1.095724
2022/9/1 10:52,46,2.404907,2.780946,1.006858
2022/9/1 10:57,47,2.150801,2.940865,0.9597161
2022/9/1 11:02,46,2.324247,2.832564,0.9939286
2022/9/1 11:07,47,2.230986,2.859199,1.119702
2022/9/1 11:12,47,2.290273,3.274939,1.068794
2022/9/1 11:17,47,2.171607,2.818739,0.9086885
2022/9/1 11:22,47,2.330084,2.728014,0.9434591
2022/9/1 11:27,47,2.201635,2.81861,0.9980327
2022/9/1 11:32,47,2.159879,3.071865,1.107936
